speech_id,year,sense,count,n
510042336,1890,observe,0,10
510042336,1890,newspaper,1,10
510055999,1890,ship,20,20
510055999,1890,observe,0,20
510055999,1890,newspaper,0,20
510056011,1890,ship,9,10
510056011,1890,observe,0,10
510056011,1890,newspaper,1,10
510056026,1890,ship,13,20
510056026,1890,observe,1,20
510056026,1890,newspaper,2,20
510067087,1890,ship,39,40
510067087,1890,observe,0,40
510067087,1890,newspaper,1,40
510067561,1890,ship,36,39
510067561,1890,observe,1,39
510067561,1890,newspaper,2,39
510073310,1890,ship,7,10
510073310,1890,observe,2,10
510073310,1890,newspaper,1,10
510073327,1890,ship,9,10
510073327,1890,observe,0,10
510073327,1890,newspaper,0,10
510123662,1890,ship,9,10
510123662,1890,observe,0,10
510123662,1890,newspaper,0,10
510151029,1890,ship,19,20
510151029,1890,observe,0,20
510151029,1890,newspaper,0,20
510152243,1890,ship,10,10
510152243,1890,observe,0,10
510152243,1890,newspaper,0,10
510153297,1890,ship,9,10
510153297,1890,observe,0,10
510153297,1890,newspaper,1,10
510177154,1891,ship,9,9
510177154,1891,observe,0,9
510177154,1891,newspaper,0,9
510186024,1891,ship,10,10
510186024,1891,observe,0,10
510186024,1891,newspaper,0,10
510186035,1891,ship,9,10
510186035,1891,observe,0,10
510186035,1891,newspaper,1,10
510190695,1891,ship,10,10
510190695,1891,observe,0,10
510190695,1891,newspaper,0,10
510190702,1891,ship,29,30
510190702,1891,observe,1,30
510190702,1891,newspaper,0,30
510191167,1891,ship,18,20
510191167,1891,observe,2,20
510191167,1891,newspaper,0,20
510191205,1891,ship,38,38
510191205,1891,observe,0,38
510191205,1891,newspaper,0,38
510191208,1891,ship,9,10
510191208,1891,observe,0,10
510191208,1891,newspaper,1,10
510191663,1891,ship,20,20
510191663,1891,observe,0,20
510191663,1891,newspaper,0,20
510191673,1891,ship,10,10
510191673,1891,observe,0,10
510191673,1891,newspaper,0,10
510191829,1891,ship,10,10
510191829,1891,observe,0,10
510191829,1891,newspaper,0,10
510191841,1891,ship,5,10
510191841,1891,observe,0,10
510191841,1891,newspaper,1,10
510191854,1891,ship,18,20
510191854,1891,observe,1,20
510191854,1891,newspaper,0,20
510196500,1891,ship,9,10
510196500,1891,observe,0,10
510196500,1891,newspaper,1,10
510202647,1891,ship,16,20
510202647,1891,observe,1,20
510202647,1891,newspaper,1,20
510203584,1891,ship,6,10
510203584,1891,observe,2,10
510203584,1891,newspaper,1,10
510203586,1891,ship,6,10
510203586,1891,observe,0,10
510203586,1891,newspaper,4,10
510203592,1891,ship,10,10
510203592,1891,observe,0,10
510203592,1891,newspaper,0,10
510203614,1891,ship,16,30
510203614,1891,observe,4,30
510203614,1891,newspaper,1,30
510203622,1891,ship,18,20
510203622,1891,observe,2,20
510203622,1891,newspaper,0,20
510222744,1891,ship,2,10
510222744,1891,observe,5,10
510222744,1891,newspaper,3,10
520044860,1892,ship,28,29
520044860,1892,observe,0,29
520044860,1892,newspaper,1,29
520047904,1892,ship,9,10
520047904,1892,observe,1,10
520047904,1892,newspaper,0,10
520059645,1892,ship,9,10
520059645,1892,observe,0,10
520059645,1892,newspaper,1,10
520059648,1892,ship,92,106
520059648,1892,observe,2,106
520059648,1892,newspaper,11,106
520059649,1892,ship,67,77
520059649,1892,observe,3,77
520059649,1892,newspaper,5,77
520059654,1892,ship,18,20
520059654,1892,observe,0,20
520059654,1892,newspaper,2,20
520059655,1892,ship,9,10
520059655,1892,observe,0,10
520059655,1892,newspaper,1,10
520059657,1892,ship,17,20
520059657,1892,observe,2,20
520059657,1892,newspaper,1,20
520059661,1892,ship,9,10
520059661,1892,observe,0,10
520059661,1892,newspaper,1,10
520059663,1892,ship,12,18
520059663,1892,observe,4,18
520059663,1892,newspaper,2,18
520059667,1892,ship,9,10
520059667,1892,observe,0,10
520059667,1892,newspaper,1,10
520059669,1892,ship,10,10
520059669,1892,observe,0,10
520059669,1892,newspaper,0,10
520059671,1892,ship,9,10
520059671,1892,observe,0,10
520059671,1892,newspaper,1,10
520059673,1892,ship,10,10
520059673,1892,observe,0,10
520059673,1892,newspaper,0,10
520059676,1892,ship,27,29
520059676,1892,observe,0,29
520059676,1892,newspaper,1,29
520059696,1892,ship,19,20
520059696,1892,observe,1,20
520059696,1892,newspaper,0,20
520059697,1892,ship,16,20
520059697,1892,observe,2,20
520059697,1892,newspaper,0,20
520059706,1892,ship,7,10
520059706,1892,observe,3,10
520059706,1892,newspaper,0,10
520059707,1892,ship,5,10
520059707,1892,observe,1,10
520059707,1892,newspaper,1,10
520059724,1892,ship,10,10
520059724,1892,observe,0,10
520059724,1892,newspaper,0,10
520060465,1892,ship,9,10
520060465,1892,observe,0,10
520060465,1892,newspaper,1,10
520061266,1892,ship,9,10
520061266,1892,observe,0,10
520061266,1892,newspaper,1,10
520061276,1892,ship,4,10
520061276,1892,observe,0,10
520061276,1892,newspaper,1,10
520061378,1892,ship,25,30
520061378,1892,observe,2,30
520061378,1892,newspaper,2,30
520092192,1892,ship,10,10
520092192,1892,observe,0,10
520092192,1892,newspaper,0,10
520092205,1892,ship,10,10
520092205,1892,observe,0,10
520092205,1892,newspaper,0,10
520152096,1893,ship,9,10
520152096,1893,observe,0,10
520152096,1893,newspaper,1,10
530075907,1894,ship,0,10
530075907,1894,observe,0,10
530075907,1894,newspaper,10,10
530097714,1894,ship,0,10
530097714,1894,observe,0,10
530097714,1894,newspaper,10,10
530097716,1894,ship,0,10
530097716,1894,observe,3,10
530097716,1894,newspaper,7,10
530110383,1894,ship,10,10
530110383,1894,observe,0,10
530110383,1894,newspaper,0,10
530132051,1894,ship,0,10
530132051,1894,observe,10,10
530132051,1894,newspaper,0,10
530149214,1894,ship,14,18
530149214,1894,observe,4,18
530149214,1894,newspaper,0,18
530151490,1894,ship,6,9
530151490,1894,observe,1,9
530151490,1894,newspaper,2,9
530160543,1894,ship,8,10
530160543,1894,observe,0,10
530160543,1894,newspaper,1,10
530188532,1895,ship,5,10
530188532,1895,observe,1,10
530188532,1895,newspaper,3,10
530208381,1895,ship,8,10
530208381,1895,observe,0,10
530208381,1895,newspaper,2,10
530209288,1895,ship,14,20
530209288,1895,observe,2,20
530209288,1895,newspaper,2,20
530209315,1895,ship,10,10
530209315,1895,observe,0,10
530209315,1895,newspaper,0,10
530225086,1895,ship,10,10
530225086,1895,observe,0,10
530225086,1895,newspaper,0,10
530225106,1895,ship,8,10
530225106,1895,observe,0,10
530225106,1895,newspaper,1,10
540019140,1896,ship,9,10
540019140,1896,observe,0,10
540019140,1896,newspaper,1,10
540045458,1896,ship,6,10
540045458,1896,observe,0,10
540045458,1896,newspaper,1,10
540045552,1896,ship,10,10
540045552,1896,observe,0,10
540045552,1896,newspaper,0,10
540065086,1896,ship,4,10
540065086,1896,observe,1,10
540065086,1896,newspaper,2,10
540070837,1896,ship,9,10
540070837,1896,observe,0,10
540070837,1896,newspaper,1,10
540070917,1896,ship,4,10
540070917,1896,observe,1,10
540070917,1896,newspaper,0,10
540078188,1896,ship,10,10
540078188,1896,observe,0,10
540078188,1896,newspaper,0,10
540088920,1896,ship,1,10
540088920,1896,observe,0,10
540088920,1896,newspaper,0,10
540141472,1897,ship,8,10
540141472,1897,observe,0,10
540141472,1897,newspaper,2,10
550056981,1898,ship,4,10
550056981,1898,observe,1,10
550056981,1898,newspaper,5,10
550062281,1898,ship,57,60
550062281,1898,observe,2,60
550062281,1898,newspaper,1,60
550062283,1898,ship,14,19
550062283,1898,observe,2,19
550062283,1898,newspaper,2,19
550063686,1898,ship,90,92
550063686,1898,observe,1,92
550063686,1898,newspaper,1,92
550063689,1898,ship,9,10
550063689,1898,observe,0,10
550063689,1898,newspaper,1,10
550087698,1898,ship,0,10
550087698,1898,observe,1,10
550087698,1898,newspaper,9,10
550088136,1898,ship,9,10
550088136,1898,observe,1,10
550088136,1898,newspaper,0,10
550088137,1898,ship,9,10
550088137,1898,observe,0,10
550088137,1898,newspaper,1,10
550088141,1898,ship,40,50
550088141,1898,observe,3,50
550088141,1898,newspaper,7,50
550088145,1898,ship,10,10
550088145,1898,observe,0,10
550088145,1898,newspaper,0,10
550088147,1898,ship,26,27
550088147,1898,observe,0,27
550088147,1898,newspaper,1,27
550088148,1898,ship,0,10
550088148,1898,observe,0,10
550088148,1898,newspaper,10,10
550088149,1898,ship,2,10
550088149,1898,observe,1,10
550088149,1898,newspaper,7,10
550088408,1898,ship,7,10
550088408,1898,observe,0,10
550088408,1898,newspaper,2,10
550092175,1898,ship,8,10
550092175,1898,observe,0,10
550092175,1898,newspaper,1,10
550092220,1898,ship,9,10
550092220,1898,observe,0,10
550092220,1898,newspaper,1,10
550092275,1898,ship,76,94
550092275,1898,observe,5,94
550092275,1898,newspaper,13,94
550092285,1898,ship,24,27
