"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"3100","Spanish (Mexican)","produces","store",24,42,35,0.545454545454545,"other","places","tienda/mercado","tienda/mercado",6.5,8.38461538461699,-8.60939605865455,5.94,3.43,9.5531914893617,3.75,4.5
"3101","Spanish (Mexican)","produces","stove",24,23,54,0.298701298701299,"nouns","furniture_rooms","estufa","estufa",6,8.375,-10.8324285199466,5.63,3.82,10.0294117647059,1.1,4.96
"3102","Spanish (Mexican)","produces","street",24,54,23,0.701298701298701,"other","outside","calle","calle",4,7.7798165137598,-7.36302288825796,5.07,3.45,8.80645161290323,1.7,4.75
"3103","Spanish (Mexican)","produces","street",24,54,23,0.701298701298701,"other","places","calle","calle",4,7.7798165137598,-7.36302288825796,5.07,3.45,8.80645161290323,1.7,4.75
"3104","Spanish (Mexican)","produces","stroller",24,24,53,0.311688311688312,"nouns","vehicles","carreola","carreola",7,NA,NA,5.75,3.22,18.3809523809524,8.538461538,4.96
"3105","Spanish (Mexican)","produces","sun",24,49,28,0.636363636363636,"nouns","outside","sol","sol",3,7.03244837758185,-6.04739076612617,6.92,4.64,23.475,2.588235294,4.83
"3106","Spanish (Mexican)","produces","sweater",24,40,37,0.519480519480519,"nouns","clothing","suéter","suéter",6,NA,-11.7197317149475,6.19,2.8,7.75757575757576,2.909090909,4.78
"3107","Spanish (Mexican)","produces","swing (object)",24,30,47,0.38961038961039,"nouns","outside","columpio","columpio",8,7.61189801699395,-7.10461119810629,6.95,4.1,NA,NA,4.54
"3108","Spanish (Mexican)","produces","t-shirt",24,22,55,0.285714285714286,"nouns","clothing","playera","playera",8,7.71684587813247,-8.03085226083361,6.43,2.23,NA,NA,4.93
"3109","Spanish (Mexican)","produces","table",24,53,24,0.688311688311688,"nouns","furniture_rooms","mesa","mesa",4,7.70309653915888,-6.66348590959924,5.49,3,18.7555555555556,3.928571429,4.9
"3110","Spanish (Mexican)","produces","take",24,33,44,0.428571428571429,"verbs","action_words","llevar(se)","llevar(se), tomar(se)",6,NA,NA,4.82,4.52,21.7333333333333,4.3,3.06
"3111","Spanish (Mexican)","produces","take",24,33,44,0.428571428571429,"verbs","action_words","tomar(se)","llevar(se), tomar(se)",6,NA,NA,4.82,4.52,21.7333333333333,4.3,3.06
"3112","Spanish (Mexican)","produces","take out",24,24,53,0.311688311688312,"verbs","action_words","sacar","sacar",5,7.35505836576048,-6.72929912816881,4.21,3.11,NA,NA,3.44
"3113","Spanish (Mexican)","produces","teacher",24,29,48,0.376623376623377,"other","people","maestra","maestra",7,9.24137931034747,-9.18830504952466,7.37,2.9,16.05,2.9,4.52
"3114","Spanish (Mexican)","produces","teddybear",24,51,26,0.662337662337662,"nouns","toys","osito","osito",5,6.27873563218457,-7.81056994180044,7.38,3.74,10.90625,8.266666667,4.87
"3115","Spanish (Mexican)","produces","telephone",24,47,30,0.61038961038961,"nouns","household","teléfono","teléfono",8,6.60915492957996,-8.01315268373421,5.71,4.3,NA,NA,4.96
"3116","Spanish (Mexican)","produces","thank you",24,65,12,0.844155844155844,"other","games_routines","gracias","gracias",7,3.90646258503699,-7.28721568035128,7.73,4.05,15.6666666666667,2.75,2.15
"3117","Spanish (Mexican)","produces","that",24,50,27,0.649350649350649,"function_words","pronouns","aquel","aquel, aquella, esa, ese, eso",3.6,6.11209842788845,-4.0747440196247,NA,NA,8.275,1.538461538,1.54
"3118","Spanish (Mexican)","produces","that",24,50,27,0.649350649350649,"function_words","pronouns","aquella","aquel, aquella, esa, ese, eso",3.6,6.11209842788845,-4.0747440196247,NA,NA,8.275,1.538461538,1.54
"3119","Spanish (Mexican)","produces","that",24,50,27,0.649350649350649,"function_words","pronouns","esa","aquel, aquella, esa, ese, eso",3.6,6.11209842788845,-4.0747440196247,NA,NA,8.275,1.538461538,1.54
"3120","Spanish (Mexican)","produces","that",24,50,27,0.649350649350649,"function_words","pronouns","ese","aquel, aquella, esa, ese, eso",3.6,6.11209842788845,-4.0747440196247,NA,NA,8.275,1.538461538,1.54
"3121","Spanish (Mexican)","produces","that",24,50,27,0.649350649350649,"function_words","pronouns","eso","aquel, aquella, esa, ese, eso",3.6,6.11209842788845,-4.0747440196247,NA,NA,8.275,1.538461538,1.54
"3122","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","articles","el (articles)","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3123","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","articles","la","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3124","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","articles","las","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3125","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","articles","los","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3126","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","prepositions","la","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3127","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","prepositions","las","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3128","Spanish (Mexican)","produces","the",24,32,45,0.415584415584416,"function_words","prepositions","los","el (articles), la, las, los",2.5,7.90136322790966,-2.24422879953874,NA,NA,3.78048780487805,2,1.43
"3129","Spanish (Mexican)","produces","them",24,7,70,0.0909090909090909,"function_words","pronouns","les","les",3,8.1661849711021,-6.43218644538142,NA,NA,17.547619047619,4.1,3.04
"3130","Spanish (Mexican)","produces","there",24,44,33,0.571428571428571,"function_words","locations","ahí","ahí, alla/allí",2.5,6.03997547516964,-4.65913273230852,NA,NA,11.2325581395349,2.230769231,2.2
"3131","Spanish (Mexican)","produces","there",24,44,33,0.571428571428571,"function_words","locations","alla/allí","ahí, alla/allí",2.5,6.03997547516964,-4.65913273230852,NA,NA,11.2325581395349,2.230769231,2.2
